InputsCode,Penalty,Radius,VolFrac
01-A-P4-R1.750-V0.300,4,1.75,0.3
01-A-P4-R1.750-V0.350,4,1.75,0.35
01-A-P4-R1.750-V0.400,4,1.75,0.4
01-A-P4-R1.750-V0.450,4,1.75,0.45
01-A-P4-R1.750-V0.500,4,1.75,0.5
01-A-P4-R1.750-V0.550,4,1.75,0.55
01-A-P4-R1.750-V0.600,4,1.75,0.6
01-A-P4-R1.750-V0.650,4,1.75,0.65
01-A-P4-R2.000-V0.200,4,2.0,0.2
01-A-P4-R2.000-V0.250,4,2.0,0.25
01-A-P4-R2.000-V0.300,4,2.0,0.3
01-A-P4-R2.000-V0.350,4,2.0,0.35
01-A-P4-R2.000-V0.400,4,2.0,0.4
01-A-P4-R2.000-V0.450,4,2.0,0.45
01-A-P4-R2.000-V0.500,4,2.0,0.5
01-A-P4-R2.000-V0.550,4,2.0,0.55
01-A-P4-R2.000-V0.600,4,2.0,0.6
01-A-P4-R2.000-V0.650,4,2.0,0.65
01-A-P4-R2.250-V0.200,4,2.25,0.2
01-A-P4-R2.250-V0.250,4,2.25,0.25
01-A-P4-R2.250-V0.300,4,2.25,0.3
01-A-P4-R2.250-V0.350,4,2.25,0.35
01-A-P4-R2.250-V0.400,4,2.25,0.4
01-A-P4-R2.250-V0.450,4,2.25,0.45
01-A-P4-R2.250-V0.500,4,2.25,0.5
01-A-P4-R2.250-V0.550,4,2.25,0.55
01-A-P4-R2.250-V0.600,4,2.25,0.6
01-A-P4-R2.250-V0.650,4,2.25,0.65
01-A-P4-R2.500-V0.200,4,2.5,0.2
01-A-P4-R2.500-V0.250,4,2.5,0.25
01-A-P4-R2.500-V0.300,4,2.5,0.3
01-A-P4-R2.500-V0.350,4,2.5,0.35
01-A-P4-R2.500-V0.400,4,2.5,0.4
01-A-P4-R2.500-V0.450,4,2.5,0.45
01-A-P4-R2.500-V0.500,4,2.5,0.5
01-A-P4-R2.500-V0.550,4,2.5,0.55
01-A-P4-R2.500-V0.600,4,2.5,0.6
01-A-P4-R2.500-V0.650,4,2.5,0.65
01-A-P4-R2.750-V0.200,4,2.75,0.2
01-A-P4-R2.750-V0.250,4,2.75,0.25
01-A-P4-R2.750-V0.300,4,2.75,0.3
01-A-P4-R2.750-V0.350,4,2.75,0.35
01-A-P4-R2.750-V0.400,4,2.75,0.4
01-A-P4-R2.750-V0.450,4,2.75,0.45
01-A-P4-R2.750-V0.500,4,2.75,0.5
01-A-P4-R2.750-V0.550,4,2.75,0.55
01-A-P4-R2.750-V0.600,4,2.75,0.6
01-A-P4-R2.750-V0.650,4,2.75,0.65
01-A-P4-R3.000-V0.200,4,3.0,0.2
01-A-P4-R3.000-V0.250,4,3.0,0.25
01-A-P4-R3.000-V0.300,4,3.0,0.3
01-A-P4-R3.000-V0.350,4,3.0,0.35
01-A-P4-R3.000-V0.400,4,3.0,0.4
01-A-P4-R3.000-V0.450,4,3.0,0.45
01-A-P4-R3.000-V0.500,4,3.0,0.5
01-A-P4-R3.000-V0.550,4,3.0,0.55
01-A-P4-R3.000-V0.600,4,3.0,0.6
01-A-P4-R3.000-V0.650,4,3.0,0.65
01-A-P4-R4.000-V0.200,4,4.0,0.2
01-A-P4-R4.000-V0.250,4,4.0,0.25
01-A-P4-R4.000-V0.300,4,4.0,0.3
01-A-P4-R4.000-V0.350,4,4.0,0.35
01-A-P4-R4.000-V0.400,4,4.0,0.4
01-A-P4-R4.000-V0.450,4,4.0,0.45
01-A-P4-R4.000-V0.500,4,4.0,0.5
01-A-P4-R4.000-V0.550,4,4.0,0.55
01-A-P4-R4.000-V0.600,4,4.0,0.6
01-A-P4-R4.000-V0.650,4,4.0,0.65
01-A-P4-R5.000-V0.200,4,5.0,0.2
01-A-P4-R5.000-V0.250,4,5.0,0.25
01-A-P4-R5.000-V0.300,4,5.0,0.3
01-A-P4-R5.000-V0.350,4,5.0,0.35
01-A-P4-R5.000-V0.400,4,5.0,0.4
01-A-P4-R5.000-V0.450,4,5.0,0.45
01-A-P4-R5.000-V0.500,4,5.0,0.5
01-A-P4-R5.000-V0.550,4,5.0,0.55
01-A-P4-R5.000-V0.600,4,5.0,0.6
01-A-P4-R5.000-V0.650,4,5.0,0.65
01-A-P4-R6.000-V0.200,4,6.0,0.2
01-A-P4-R6.000-V0.250,4,6.0,0.25
01-A-P4-R6.000-V0.300,4,6.0,0.3
01-A-P4-R6.000-V0.350,4,6.0,0.35
01-A-P4-R6.000-V0.400,4,6.0,0.4
01-A-P4-R6.000-V0.450,4,6.0,0.45
01-A-P4-R6.000-V0.500,4,6.0,0.5
01-A-P4-R6.000-V0.550,4,6.0,0.55
01-A-P4-R6.000-V0.600,4,6.0,0.6
01-A-P4-R6.000-V0.650,4,6.0,0.65
01-A-P4-R8.000-V0.200,4,8.0,0.2
01-A-P4-R8.000-V0.250,4,8.0,0.25
01-A-P4-R8.000-V0.300,4,8.0,0.3
01-A-P4-R8.000-V0.350,4,8.0,0.35
01-A-P4-R8.000-V0.400,4,8.0,0.4
01-A-P4-R8.000-V0.450,4,8.0,0.45
01-A-P4-R8.000-V0.500,4,8.0,0.5
01-A-P4-R8.000-V0.550,4,8.0,0.55
01-A-P4-R8.000-V0.600,4,8.0,0.6
01-A-P4-R8.000-V0.650,4,8.0,0.65
01-A-P5-R1.750-V0.200,5,1.75,0.2
01-A-P5-R1.750-V0.250,5,1.75,0.25
01-A-P5-R1.750-V0.300,5,1.75,0.3
01-A-P5-R1.750-V0.350,5,1.75,0.35
01-A-P5-R1.750-V0.400,5,1.75,0.4
01-A-P5-R1.750-V0.450,5,1.75,0.45
01-A-P5-R1.750-V0.500,5,1.75,0.5
01-A-P5-R1.750-V0.550,5,1.75,0.55
01-A-P5-R1.750-V0.600,5,1.75,0.6
